time,MAC,packet
2024-04-26 06:18:00.190199,00:c2:c6:1f:80:dd,Ether / IP / UDP 100.64.132.253:54313 > 239.255.255.250:1900 / Raw
2024-04-26 06:18:00.190199,34:36:3b:d2:a1:0a,"Ether / IP / UDP / DNS Qry ""b'_arduino._tcp.local.'"" "
2024-04-26 06:18:00.289064,62:4b:41:33:07:56,Ether / IP / UDP 100.64.130.26:1900 > 239.255.255.250:1900 / Raw
2024-04-26 06:18:00.289064,9c:28:f7:8b:de:94,Ether / fe80::699d:ac77:1be6:5a41 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.289065,7e:b4:d2:17:13:23,Ether / fe80::1497:d1d7:628d:f016 > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.289768,7e:b4:d2:17:13:23,"Ether / IP / UDP / DNS Qry ""b'Le-Petit-Prince.local.'"" "
2024-04-26 06:18:00.292831,7e:b4:d2:17:13:23,"Ether / IPv6 / UDP / DNS Qry ""b'Le-Petit-Prince.local.'"" "
2024-04-26 06:18:00.292832,7e:b4:d2:17:13:23,"Ether / IPv6 / UDP / DNS Ans ""b'_rdlink._tcp.local.'"" "
2024-04-26 06:18:00.292832,8c:3b:4a:43:2f:d0,Ether / fe80::30de:13c4:ed65:5e8d > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.292832,7e:b4:d2:17:13:23,"Ether / IP / UDP / DNS Ans ""b'_rdlink._tcp.local.'"" "
2024-04-26 06:18:00.292832,60:67:20:c5:70:60,"Ether / IP / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:18:00.390964,6c:7e:67:ce:b8:b7,Ether / IP / UDP 100.64.131.208:62977 > 100.64.135.255:59870 / Raw
2024-04-26 06:18:00.390964,6c:7e:67:ce:b8:b7,Ether / IP / UDP 100.64.131.208:55960 > 100.64.135.255:59870 / Raw
2024-04-26 06:18:00.393781,6c:7e:67:ce:b8:b7,Ether / IP / UDP 100.64.131.208:50389 > 100.64.135.255:59870 / Raw
2024-04-26 06:18:00.393782,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:18:00.393782,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:18:00.393782,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:18:00.393782,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Qry ""b'Le Petit Prince._rdlink._tcp.local.'"" "
2024-04-26 06:18:00.493325,10:51:07:88:6a:80,Ether / fe80::c0d7:3fa8:fd8a:56db > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.502601,10:51:07:88:6a:80,Ether / fe80::c0d7:3fa8:fd8a:56db > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.502601,10:51:07:88:6a:80,"Ether / IPv6 / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.502602,7e:b4:d2:17:13:23,"Ether / IPv6 / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
2024-04-26 06:18:00.502602,10:51:07:88:6a:80,"Ether / IPv6 / UDP / DNS Ans ""2001:67c:1220:98a1:3bcb:6f4e:1f2c:be86"" "
2024-04-26 06:18:00.502602,10:51:07:88:6a:80,Ether / IPv6 / UDP fe80::c0d7:3fa8:fd8a:56db:50268 > ff02::1:3:5355 / LLMNRQuery who has 'Surface.'
2024-04-26 06:18:00.502602,0c:9a:3c:6d:cc:89,Ether / fe80::3687:9c9f:2020:b45f > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
2024-04-26 06:18:00.502602,7e:b4:d2:17:13:23,Ether / IPv6 / UDP / DNS Ans 
2024-04-26 06:18:00.502602,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.502745,08:f8:bc:5d:89:0e,"Ether / IPv6 / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.502746,10:51:07:88:6a:80,"Ether / IP / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.502746,7e:b4:d2:17:13:23,"Ether / IP / UDP / DNS Qry ""b'_companion-link._tcp.local.'"" "
2024-04-26 06:18:00.502746,10:51:07:88:6a:80,"Ether / IP / UDP / DNS Ans ""2001:67c:1220:98a1:3bcb:6f4e:1f2c:be86"" "
2024-04-26 06:18:00.502746,10:51:07:88:6a:80,Ether / IP / UDP 100.64.130.127:50268 > 224.0.0.252:5355 / LLMNRQuery who has 'Surface.'
2024-04-26 06:18:00.502746,60:67:20:c5:70:60,"Ether / IP / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.502746,7e:b4:d2:17:13:23,Ether / IP / UDP / DNS Ans 
2024-04-26 06:18:00.502746,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.502796,08:f8:bc:5d:89:0e,"Ether / IP / UDP / DNS Qry ""b'Surface.local.'"" "
2024-04-26 06:18:00.595675,64:5d:86:90:a2:18,Ether / fe80::b321:1338:a264:449f > ff02::16 (0) / IPv6ExtHdrHopByHop / ICMPv6MLReport2
